school_id,dep_id,school_name,department_name,depname_abbr,school_group_my,category_id,category_name,basic_class_rank,basic_preference_score,des_class_rank,new_des_score
43,43508,中華大學,建築與都計學系(都市計畫組),,6,7,工程、製造及營建,722,-1.140688,713,285.9612007
59,59222,南華大學,建築與景觀學系社會組,,6,7,工程、製造及營建,422,-0.369094,636,318.8622614
46,46312,銘傳大學,建築學系(桃園校區),銘傳建築(桃園),5,7,工程、製造及營建,201,0.238592,545,347.572376
101,101072,國立高雄大學,政治法律學系,高雄政治法律,3,4,商業、管理及法律,164,0.390778,182,442.9995254
27,27192,國立中山大學,政治經濟學系,中山政治經濟,2,4,商業、管理及法律,115,0.634107,115,463.2360989
6,6072,國立政治大學,政治學系,政大政治,1,3,社會科學、新聞學及圖書資訊,49,1.339766,54,480.3276117
4,4352,國立成功大學,政治學系,成大政治,1,3,社會科學、新聞學及圖書資訊,82,0.924509,101,466.2226749
41,41132,國立中正大學,政治學系,,2,3,社會科學、新聞學及圖書資訊,155,0.4268,126,460.4214221
5,5042,東吳大學,政治學系,東吳政治,4,3,社會科學、新聞學及圖書資訊,205,0.223347,217,431.4462477
17,17192,中國文化大學,政治學系,文化政治,6,3,社會科學、新聞學及圖書資訊,739,-1.211207,638,318.3560224
1,1182,國立臺灣大學,政治學系公共行政組,臺大政治公共行政,1,3,社會科學、新聞學及圖書資訊,15,2.229733,13,502.0405255
1,1162,國立臺灣大學,政治學系政治理論組,臺大政治理論,1,3,社會科學、新聞學及圖書資訊,14,2.387674,18,499.0365105
9,9382,東海大學,政治學系政治理論組,東海政治理論,4,3,社會科學、新聞學及圖書資訊,399,-0.321823,429,376.5807053
1,1172,國立臺灣大學,政治學系國際關係組,臺大政治國際關係,1,3,社會科學、新聞學及圖書資訊,9,2.59605,8,508.4792011
9,9392,東海大學,政治學系國際關係組,東海政治國際關係,4,3,社會科學、新聞學及圖書資訊,433,-0.396759,385,386.3874984
43,43182,中華大學,科技管理學系,中華科管,6,4,商業、管理及法律,799,-2.119928,781,258.2405573
5,5072,東吳大學,英文學系,東吳英文,4,2,藝術及人文,245,0.077388,262,418.5553731
14,14072,淡江大學,英文學系,淡江英文,4,2,藝術及人文,255,0.044781,334,397.9434156
16,16022,國立中央大學,英美語文學系,中央英美語文,2,2,藝術及人文,100,0.768324,70,475.7570236
38,38062,國立臺東大學,英美語文學系,臺東英美語文,3,2,藝術及人文,407,-0.336484,422,377.6914933
34,34212,國立東華大學,英美語文學系,東華英美語文,3,2,藝術及人文,468,-0.469621,323,400.7726413
108,108152,慈濟大學,英美語文學系,慈濟英美語文,6,2,藝術及人文,565,-0.661971,778,259.0803848
79,79062,真理大學,英美語文學系,,6,2,藝術及人文,641,-0.845031,745,273.6919508
6,6282,國立政治大學,英國語文學系,政大英國語文,1,2,藝術及人文,107,0.682924,43,483.9527326
20,20272,輔仁大學,英國語文學系,輔仁英國語文,4,2,藝術及人文,166,0.376434,149,451.6320148
